,发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度,事件编号
429,2014-10-19 15:36:04,关,关,关,29°C,0%,30,0分钟,50°C,6
430,2014-10-19 15:36:06,关,关,关,29°C,0%,31,0分钟,50°C,6
431,2014-10-19 15:36:08,关,关,关,29°C,0%,30,0分钟,50°C,6
432,2014-10-19 15:36:10,关,关,关,29°C,0%,31,0分钟,50°C,6
433,2014-10-19 15:36:20,关,关,关,29°C,0%,30,0分钟,50°C,6
434,2014-10-19 15:36:22,关,关,关,29°C,0%,31,0分钟,50°C,6
435,2014-10-19 15:36:32,关,关,关,29°C,0%,30,0分钟,50°C,6
436,2014-10-19 15:36:34,关,关,关,29°C,0%,31,0分钟,50°C,6
437,2014-10-19 15:36:38,关,关,关,29°C,0%,30,0分钟,50°C,6
438,2014-10-19 15:36:40,关,关,关,29°C,0%,31,0分钟,50°C,6
439,2014-10-19 15:36:50,关,关,关,29°C,0%,30,0分钟,50°C,6
440,2014-10-19 15:36:52,关,关,关,29°C,0%,31,0分钟,50°C,6
441,2014-10-19 15:36:54,关,关,关,29°C,0%,25,0分钟,50°C,6
442,2014-10-19 15:37:00,关,关,关,29°C,0%,21,0分钟,50°C,6
443,2014-10-19 15:37:02,关,关,关,29°C,0%,20,0分钟,50°C,6
444,2014-10-19 15:37:06,关,关,关,29°C,0%,18,0分钟,50°C,6
445,2014-10-19 15:37:19,关,关,关,29°C,0%,17,0分钟,50°C,6
446,2014-10-19 15:37:21,关,关,关,29°C,0%,18,0分钟,50°C,6
447,2014-10-19 15:37:29,关,关,关,29°C,0%,17,0分钟,50°C,6
448,2014-10-19 15:37:31,关,关,关,29°C,0%,18,0分钟,50°C,6
449,2014-10-19 15:37:37,关,关,关,29°C,0%,17,0分钟,50°C,6
450,2014-10-19 15:37:39,关,关,关,29°C,0%,18,0分钟,50°C,6
451,2014-10-19 15:37:41,关,关,关,29°C,0%,11,0分钟,50°C,6
454,2014-10-19 15:37:59,开,开,关,29°C,0%,43,25分钟,50°C,6
455,2014-10-19 15:38:01,开,开,关,29°C,0%,48,25分钟,50°C,6
456,2014-10-19 15:38:25,开,开,关,29°C,0%,50,25分钟,50°C,6
457,2014-10-19 15:38:31,开,开,关,29°C,0%,48,25分钟,50°C,6
458,2014-10-19 15:38:33,开,开,关,29°C,0%,51,25分钟,50°C,6
459,2014-10-19 15:38:35,开,开,关,29°C,0%,50,25分钟,50°C,6
460,2014-10-19 15:38:37,开,开,关,29°C,0%,48,25分钟,50°C,6
461,2014-10-19 15:39:06,开,开,关,29°C,0%,50,25分钟,50°C,6
462,2014-10-19 15:39:10,开,开,关,29°C,0%,51,25分钟,50°C,6
463,2014-10-19 15:39:12,开,开,关,29°C,0%,50,25分钟,50°C,6
464,2014-10-19 15:39:14,开,开,关,29°C,0%,51,25分钟,50°C,6
465,2014-10-19 15:39:21,开,开,关,29°C,0%,51,25分钟,50°C,6
466,2014-10-19 15:39:40,开,开,关,29°C,0%,50,25分钟,50°C,6
467,2014-10-19 15:39:42,开,开,关,29°C,0%,48,25分钟,50°C,6
468,2014-10-19 15:39:44,开,开,关,29°C,0%,51,25分钟,50°C,6
469,2014-10-19 15:39:48,开,开,关,29°C,0%,50,25分钟,50°C,6
470,2014-10-19 15:39:52,开,开,关,29°C,0%,51,25分钟,50°C,6
471,2014-10-19 15:40:00,开,开,关,29°C,0%,50,25分钟,50°C,6
472,2014-10-19 15:40:02,开,开,关,29°C,0%,51,25分钟,50°C,6
473,2014-10-19 15:40:18,开,开,关,29°C,0%,50,25分钟,50°C,6
474,2014-10-19 15:40:20,开,开,关,29°C,0%,51,25分钟,50°C,6
475,2014-10-19 15:40:24,开,开,关,29°C,0%,50,25分钟,50°C,6
476,2014-10-19 15:40:26,开,开,关,29°C,0%,42,25分钟,50°C,6
477,2014-10-19 15:40:28,开,开,关,29°C,0%,43,25分钟,50°C,6
478,2014-10-19 15:40:30,开,开,关,29°C,0%,42,25分钟,50°C,6
479,2014-10-19 15:40:32,开,开,关,29°C,0%,43,25分钟,50°C,6
480,2014-10-19 15:40:43,开,开,关,29°C,0%,42,25分钟,50°C,6
481,2014-10-19 15:40:45,开,开,关,29°C,0%,43,25分钟,50°C,6
482,2014-10-19 15:40:53,开,开,关,29°C,0%,42,25分钟,50°C,6
483,2014-10-19 15:40:55,开,开,关,29°C,0%,43,25分钟,50°C,6
484,2014-10-19 15:40:59,开,开,关,29°C,0%,42,25分钟,50°C,6
485,2014-10-19 15:41:01,开,开,关,29°C,0%,41,25分钟,50°C,6
486,2014-10-19 15:41:07,开,开,关,29°C,0%,42,25分钟,50°C,6
487,2014-10-19 15:41:09,开,开,关,29°C,0%,43,25分钟,50°C,6
488,2014-10-19 15:41:11,开,开,关,29°C,0%,41,25分钟,50°C,6
489,2014-10-19 15:41:13,开,开,关,29°C,0%,43,25分钟,50°C,6
490,2014-10-19 15:41:25,开,开,关,29°C,0%,42,25分钟,50°C,6
491,2014-10-19 15:41:27,开,开,关,29°C,0%,41,25分钟,50°C,6
492,2014-10-19 15:41:29,开,开,关,29°C,0%,42,25分钟,50°C,6
493,2014-10-19 15:41:35,开,开,关,29°C,0%,41,25分钟,50°C,6
494,2014-10-19 15:41:42,开,开,关,29°C,0%,42,25分钟,50°C,6
495,2014-10-19 15:41:43,开,开,关,29°C,0%,41,25分钟,50°C,6
496,2014-10-19 15:41:45,开,开,关,29°C,0%,43,25分钟,50°C,6
497,2014-10-19 15:41:47,开,开,关,29°C,0%,42,25分钟,50°C,6
498,2014-10-19 15:41:49,开,开,关,29°C,0%,43,25分钟,50°C,6
499,2014-10-19 15:41:57,开,开,关,29°C,0%,42,25分钟,50°C,6
500,2014-10-19 15:42:03,开,开,关,29°C,0%,43,25分钟,50°C,6
501,2014-10-19 15:42:09,开,开,关,29°C,0%,42,25分钟,50°C,6
502,2014-10-19 15:42:11,开,开,关,29°C,0%,43,25分钟,50°C,6
503,2014-10-19 15:42:15,开,开,关,29°C,0%,42,25分钟,50°C,6
504,2014-10-19 15:42:22,开,开,关,29°C,0%,43,25分钟,50°C,6
505,2014-10-19 15:42:26,开,开,关,29°C,0%,42,25分钟,50°C,6
506,2014-10-19 15:42:30,开,开,关,29°C,0%,43,25分钟,50°C,6
507,2014-10-19 15:42:42,开,开,关,29°C,0%,42,25分钟,50°C,6
508,2014-10-19 15:42:50,开,开,关,29°C,0%,43,25分钟,50°C,6
509,2014-10-19 15:42:54,开,开,关,29°C,0%,42,25分钟,50°C,6
510,2014-10-19 15:42:56,开,开,关,29°C,0%,42,31分钟,50°C,6
511,2014-10-19 15:43:00,开,开,关,28°C,0%,42,31分钟,50°C,6
512,2014-10-19 15:43:02,开,开,关,28°C,0%,42,29分钟,50°C,6
513,2014-10-19 15:43:04,开,开,关,29°C,0%,43,29分钟,50°C,6
514,2014-10-19 15:43:08,开,开,关,29°C,0%,42,29分钟,50°C,6
515,2014-10-19 15:43:12,开,开,关,29°C,0%,43,29分钟,50°C,6
516,2014-10-19 15:43:14,开,开,关,29°C,0%,42,29分钟,50°C,6
517,2014-10-19 15:43:16,开,开,关,29°C,0%,43,29分钟,50°C,6
518,2014-10-19 15:43:18,开,开,关,29°C,0%,42,29分钟,50°C,6
519,2014-10-19 15:43:20,开,开,关,29°C,0%,43,29分钟,50°C,6
520,2014-10-19 15:43:22,开,开,关,29°C,0%,42,29分钟,50°C,6
521,2014-10-19 15:43:24,开,开,关,29°C,0%,43,29分钟,50°C,6
522,2014-10-19 15:43:26,开,开,关,29°C,0%,42,29分钟,50°C,6
523,2014-10-19 15:43:28,开,开,关,29°C,0%,43,29分钟,50°C,6
524,2014-10-19 15:43:34,开,开,关,29°C,0%,42,29分钟,50°C,6
525,2014-10-19 15:43:36,开,开,关,29°C,0%,43,29分钟,50°C,6
526,2014-10-19 15:43:46,开,开,关,29°C,0%,42,29分钟,50°C,6
527,2014-10-19 15:43:52,开,开,关,29°C,0%,42,28分钟,50°C,6
528,2014-10-19 15:43:54,开,开,关,29°C,0%,43,28分钟,50°C,6
529,2014-10-19 15:44:03,开,开,关,29°C,0%,42,28分钟,50°C,6
530,2014-10-19 15:44:05,开,开,关,29°C,0%,43,28分钟,50°C,6
531,2014-10-19 15:44:19,开,开,关,29°C,0%,42,28分钟,50°C,6
532,2014-10-19 15:44:21,开,开,关,29°C,0%,43,28分钟,50°C,6
533,2014-10-19 15:44:35,开,开,关,29°C,0%,42,28分钟,50°C,6
534,2014-10-19 15:44:39,开,开,关,29°C,0%,43,28分钟,50°C,6
535,2014-10-19 15:44:45,开,开,关,29°C,0%,42,28分钟,50°C,6
536,2014-10-19 15:44:47,开,开,关,29°C,0%,43,28分钟,50°C,6
537,2014-10-19 15:44:51,开,开,关,29°C,0%,43,27分钟,50°C,6
538,2014-10-19 15:44:59,开,开,关,29°C,0%,42,27分钟,50°C,6
539,2014-10-19 15:45:01,开,开,关,29°C,0%,43,27分钟,50°C,6
540,2014-10-19 15:45:05,开,开,关,29°C,0%,42,27分钟,50°C,6
541,2014-10-19 15:45:07,开,开,关,29°C,0%,43,27分钟,50°C,6
542,2014-10-19 15:45:41,开,开,关,29°C,0%,42,27分钟,50°C,6
543,2014-10-19 15:45:45,开,开,关,29°C,0%,43,27分钟,50°C,6
544,2014-10-19 15:45:47,开,开,关,29°C,0%,42,27分钟,50°C,6
545,2014-10-19 15:45:50,开,开,关,29°C,0%,43,26分钟,50°C,6
546,2014-10-19 15:45:56,开,开,关,29°C,0%,42,26分钟,50°C,6
547,2014-10-19 15:46:00,开,开,关,29°C,0%,43,26分钟,50°C,6
548,2014-10-19 15:46:10,开,开,关,29°C,0%,42,26分钟,50°C,6
549,2014-10-19 15:46:14,开,开,关,29°C,0%,43,26分钟,50°C,6
550,2014-10-19 15:46:16,开,开,关,29°C,0%,42,26分钟,50°C,6
551,2014-10-19 15:46:18,开,开,关,29°C,0%,43,26分钟,50°C,6
552,2014-10-19 15:46:26,开,开,关,29°C,0%,42,26分钟,50°C,6
553,2014-10-19 15:46:28,开,开,关,29°C,0%,43,26分钟,50°C,6
554,2014-10-19 15:46:32,开,开,关,29°C,0%,42,26分钟,50°C,6
555,2014-10-19 15:46:38,开,开,关,29°C,0%,43,26分钟,50°C,6
556,2014-10-19 15:46:40,开,开,关,29°C,0%,42,26分钟,50°C,6
557,2014-10-19 15:46:42,开,开,关,29°C,0%,43,26分钟,50°C,6
558,2014-10-19 15:46:46,开,开,关,29°C,0%,42,26分钟,50°C,6
559,2014-10-19 15:46:48,开,开,关,29°C,0%,43,26分钟,50°C,6
560,2014-10-19 15:46:54,开,开,关,29°C,0%,42,25分钟,50°C,6
561,2014-10-19 15:46:56,开,开,关,29°C,0%,43,25分钟,50°C,6
562,2014-10-19 15:47:00,开,开,关,29°C,0%,42,25分钟,50°C,6
563,2014-10-19 15:47:02,开,开,关,29°C,0%,43,25分钟,50°C,6
564,2014-10-19 15:47:06,开,开,关,29°C,0%,42,25分钟,50°C,6
565,2014-10-19 15:47:08,开,开,关,29°C,0%,43,25分钟,50°C,6
566,2014-10-19 15:47:10,开,开,关,29°C,0%,42,25分钟,50°C,6
567,2014-10-19 15:47:14,开,开,关,29°C,0%,43,25分钟,50°C,6
568,2014-10-19 15:47:18,开,开,关,29°C,0%,42,25分钟,50°C,6
569,2014-10-19 15:47:20,开,开,关,29°C,0%,43,25分钟,50°C,6
570,2014-10-19 15:47:24,开,开,关,29°C,0%,42,25分钟,50°C,6
571,2014-10-19 15:47:26,开,开,关,29°C,0%,43,25分钟,50°C,6
572,2014-10-19 15:47:34,开,开,关,29°C,0%,42,25分钟,50°C,6
573,2014-10-19 15:47:37,开,开,关,29°C,0%,43,25分钟,50°C,6
574,2014-10-19 15:47:41,开,开,关,29°C,0%,42,25分钟,50°C,6
575,2014-10-19 15:47:43,开,开,关,29°C,0%,43,25分钟,50°C,6
576,2014-10-19 15:47:45,开,开,关,29°C,0%,42,25分钟,50°C,6
577,2014-10-19 15:47:47,开,开,关,29°C,0%,43,25分钟,50°C,6
578,2014-10-19 15:47:55,开,开,关,29°C,0%,42,25分钟,50°C,6
579,2014-10-19 15:47:57,开,开,关,29°C,0%,43,25分钟,50°C,6
580,2014-10-19 15:47:59,开,开,关,29°C,0%,42,25分钟,50°C,6
581,2014-10-19 15:48:01,开,开,关,29°C,0%,43,25分钟,50°C,6
582,2014-10-19 15:48:03,开,开,关,29°C,0%,42,25分钟,50°C,6
583,2014-10-19 15:48:05,开,开,关,29°C,0%,43,25分钟,50°C,6
584,2014-10-19 15:48:15,开,开,关,29°C,0%,42,25分钟,50°C,6
585,2014-10-19 15:48:17,开,开,关,29°C,0%,43,25分钟,50°C,6
586,2014-10-19 15:48:25,开,开,关,29°C,0%,42,25分钟,50°C,6
587,2014-10-19 15:48:27,开,开,关,29°C,0%,43,25分钟,50°C,6
588,2014-10-19 15:48:29,开,开,关,29°C,0%,42,25分钟,50°C,6
589,2014-10-19 15:48:31,开,开,关,29°C,0%,43,25分钟,50°C,6
590,2014-10-19 15:48:33,开,开,关,29°C,0%,42,25分钟,50°C,6
591,2014-10-19 15:48:35,开,开,关,29°C,0%,41,25分钟,50°C,6
592,2014-10-19 15:48:39,开,开,关,29°C,0%,42,25分钟,50°C,6
593,2014-10-19 15:48:46,开,开,关,29°C,0%,41,25分钟,50°C,6
612,2014-10-19 15:55:15,开,开,关,34°C,0%,52,21分钟,50°C,7
613,2014-10-19 15:55:19,开,开,关,35°C,0%,58,21分钟,50°C,7
614,2014-10-19 15:55:21,开,开,关,35°C,0%,58,22分钟,50°C,7
615,2014-10-19 15:55:23,开,开,关,34°C,0%,60,22分钟,50°C,7
616,2014-10-19 15:55:25,开,开,关,34°C,0%,58,22分钟,50°C,7
617,2014-10-19 15:55:27,开,开,关,34°C,0%,60,21分钟,50°C,7
618,2014-10-19 15:55:29,开,开,关,35°C,0%,38,21分钟,50°C,7
659,2014-10-19 17:23:21,关,关,关,50°C,50%,62,0分钟,50°C,8
660,2014-10-19 17:23:23,关,关,关,50°C,50%,63,0分钟,50°C,8
661,2014-10-19 17:23:25,关,关,关,50°C,50%,61,0分钟,50°C,8
662,2014-10-19 17:23:31,关,关,关,50°C,50%,62,0分钟,50°C,8
663,2014-10-19 17:23:33,关,关,关,50°C,50%,63,0分钟,50°C,8
664,2014-10-19 17:23:37,关,关,关,50°C,50%,62,0分钟,50°C,8
665,2014-10-19 17:23:41,关,关,关,50°C,50%,63,0分钟,50°C,8
667,2014-10-19 17:24:58,关,关,关,50°C,50%,46,0分钟,50°C,8
668,2014-10-19 17:25:00,关,关,关,50°C,50%,50,0分钟,50°C,8
669,2014-10-19 17:25:05,关,关,关,50°C,50%,51,0分钟,50°C,8
670,2014-10-19 17:25:06,关,关,关,50°C,50%,50,0分钟,50°C,8
671,2014-10-19 17:25:12,关,关,关,50°C,50%,51,0分钟,50°C,8
672,2014-10-19 17:25:14,关,关,关,50°C,50%,40,0分钟,50°C,8
673,2014-10-19 17:25:16,关,关,关,50°C,50%,37,0分钟,50°C,8
674,2014-10-19 17:25:20,关,关,关,50°C,50%,36,0分钟,50°C,8
675,2014-10-19 17:25:22,关,关,关,50°C,50%,35,0分钟,50°C,8
676,2014-10-19 17:25:26,关,关,关,50°C,50%,36,0分钟,50°C,8
677,2014-10-19 17:25:32,关,关,关,50°C,50%,33,0分钟,50°C,8
678,2014-10-19 17:25:35,关,关,关,50°C,50%,35,0分钟,50°C,8
679,2014-10-19 17:25:37,关,关,关,50°C,50%,36,0分钟,50°C,8
680,2014-10-19 17:25:39,关,关,关,50°C,50%,33,0分钟,50°C,8
681,2014-10-19 17:25:43,关,关,关,50°C,50%,36,0分钟,50°C,8
682,2014-10-19 17:25:47,关,关,关,49°C,50%,35,0分钟,50°C,8
683,2014-10-19 17:25:49,关,关,关,49°C,50%,32,0分钟,50°C,8
684,2014-10-19 17:25:51,关,关,关,49°C,50%,31,0分钟,50°C,8
685,2014-10-19 17:25:53,关,关,关,49°C,50%,33,0分钟,50°C,8
686,2014-10-19 17:25:57,关,关,关,49°C,50%,32,0分钟,50°C,8
687,2014-10-19 17:26:01,关,关,关,49°C,50%,30,0分钟,50°C,8
688,2014-10-19 17:26:05,关,关,关,49°C,50%,28,0分钟,50°C,8
689,2014-10-19 17:26:07,关,关,关,49°C,50%,26,0分钟,50°C,8
690,2014-10-19 17:26:09,关,关,关,49°C,50%,27,0分钟,50°C,8
691,2014-10-19 17:26:13,关,关,关,49°C,50%,26,0分钟,50°C,8
692,2014-10-19 17:26:17,关,关,关,49°C,50%,27,0分钟,50°C,8
693,2014-10-19 17:26:19,关,关,关,49°C,50%,26,0分钟,50°C,8
694,2014-10-19 17:26:23,关,关,关,49°C,50%,27,0分钟,50°C,8
695,2014-10-19 17:26:25,关,关,关,49°C,50%,26,0分钟,50°C,8
696,2014-10-19 17:26:27,关,关,关,49°C,50%,27,0分钟,50°C,8
697,2014-10-19 17:26:31,关,关,关,49°C,50%,26,0分钟,50°C,8
698,2014-10-19 17:26:35,关,关,关,49°C,50%,27,0分钟,50°C,8
699,2014-10-19 17:26:39,关,关,关,49°C,50%,25,0分钟,50°C,8
700,2014-10-19 17:26:41,关,关,关,49°C,50%,23,0分钟,50°C,8
701,2014-10-19 17:26:44,关,关,关,49°C,50%,26,0分钟,50°C,8
702,2014-10-19 17:26:45,关,关,关,49°C,50%,27,0分钟,50°C,8
703,2014-10-19 17:26:47,关,关,关,49°C,50%,26,0分钟,50°C,8
704,2014-10-19 17:26:55,关,关,关,49°C,50%,27,0分钟,50°C,8
705,2014-10-19 17:26:57,关,关,关,49°C,50%,23,0分钟,50°C,8
706,2014-10-19 17:27:20,关,关,关,49°C,50%,27,0分钟,50°C,8
707,2014-10-19 17:27:26,关,关,关,49°C,50%,23,0分钟,50°C,8
708,2014-10-19 17:27:27,关,关,关,49°C,50%,22,0分钟,50°C,8
709,2014-10-19 17:27:28,关,关,关,49°C,50%,23,0分钟,50°C,8
710,2014-10-19 17:27:32,关,关,关,49°C,50%,25,0分钟,50°C,8
711,2014-10-19 17:27:34,关,关,关,49°C,50%,18,0分钟,50°C,8
712,2014-10-19 17:27:38,关,关,关,49°C,50%,22,0分钟,50°C,8
713,2014-10-19 17:27:40,关,关,关,49°C,50%,21,0分钟,50°C,8
714,2014-10-19 17:27:44,关,关,关,49°C,50%,23,0分钟,50°C,8
715,2014-10-19 17:27:54,关,关,关,49°C,50%,25,0分钟,50°C,8
716,2014-10-19 17:27:58,关,关,关,49°C,50%,23,0分钟,50°C,8
717,2014-10-19 17:28:00,关,关,关,49°C,50%,25,0分钟,50°C,8
718,2014-10-19 17:28:02,关,关,关,49°C,50%,23,0分钟,50°C,8
719,2014-10-19 17:28:04,关,关,关,49°C,50%,25,0分钟,50°C,8
720,2014-10-19 17:28:08,关,关,关,49°C,50%,23,0分钟,50°C,8
721,2014-10-19 17:28:14,关,关,关,49°C,50%,25,0分钟,50°C,8
722,2014-10-19 17:28:16,关,关,关,49°C,50%,23,0分钟,50°C,8
723,2014-10-19 17:28:20,关,关,关,49°C,50%,25,0分钟,50°C,8
724,2014-10-19 17:28:22,关,关,关,48°C,50%,25,0分钟,50°C,8
725,2014-10-19 17:28:24,关,关,关,48°C,50%,23,0分钟,50°C,8
726,2014-10-19 17:28:32,关,关,关,48°C,50%,22,0分钟,50°C,8
727,2014-10-19 17:28:34,关,关,关,48°C,50%,25,0分钟,50°C,8
728,2014-10-19 17:28:40,关,关,关,48°C,50%,23,0分钟,50°C,8
729,2014-10-19 17:28:52,关,关,关,48°C,50%,25,0分钟,50°C,8
730,2014-10-19 17:28:54,关,关,关,48°C,50%,23,0分钟,50°C,8
731,2014-10-19 17:28:57,关,关,关,48°C,50%,20,0分钟,50°C,8
732,2014-10-19 17:28:59,关,关,关,48°C,50%,25,0分钟,50°C,8
733,2014-10-19 17:29:05,关,关,关,48°C,50%,23,0分钟,50°C,8
734,2014-10-19 17:29:11,关,关,关,48°C,50%,25,0分钟,50°C,8
735,2014-10-19 17:29:15,关,关,关,48°C,50%,23,0分钟,50°C,8
736,2014-10-19 17:29:19,关,关,关,48°C,50%,25,0分钟,50°C,8
737,2014-10-19 17:29:23,关,关,关,48°C,50%,23,0分钟,50°C,8
738,2014-10-19 17:29:29,关,关,关,48°C,50%,25,0分钟,50°C,8
739,2014-10-19 17:29:37,关,关,关,48°C,50%,23,0分钟,50°C,8
740,2014-10-19 17:29:41,关,关,关,48°C,50%,25,0分钟,50°C,8
741,2014-10-19 17:29:51,关,关,关,48°C,50%,23,0分钟,50°C,8
742,2014-10-19 17:29:53,关,关,关,48°C,50%,23,0分钟,50°C,8
743,2014-10-19 17:29:55,关,关,关,47°C,50%,23,0分钟,50°C,8
744,2014-10-19 17:30:01,关,关,关,47°C,50%,25,0分钟,50°C,8
745,2014-10-19 17:30:07,关,关,关,47°C,50%,23,0分钟,50°C,8
746,2014-10-19 17:30:09,关,关,关,47°C,50%,25,0分钟,50°C,8
747,2014-10-19 17:30:11,关,关,关,47°C,50%,23,0分钟,50°C,8
748,2014-10-19 17:30:13,关,关,关,47°C,50%,25,0分钟,50°C,8
749,2014-10-19 17:30:25,关,关,关,47°C,50%,23,0分钟,50°C,8
750,2014-10-19 17:30:29,关,关,关,47°C,50%,21,0分钟,50°C,8
751,2014-10-19 17:30:35,关,关,关,47°C,50%,23,0分钟,50°C,8
752,2014-10-19 17:30:48,关,关,关,47°C,50%,25,0分钟,50°C,8
753,2014-10-19 17:30:54,关,关,关,47°C,50%,25,0分钟,50°C,8
754,2014-10-19 17:30:58,关,关,关,47°C,50%,23,0分钟,50°C,8
755,2014-10-19 17:31:06,关,关,关,47°C,50%,25,0分钟,50°C,8
756,2014-10-19 17:31:08,关,关,关,47°C,50%,23,0分钟,50°C,8
757,2014-10-19 17:31:16,关,关,关,47°C,50%,25,0分钟,50°C,8
758,2014-10-19 17:31:20,关,关,关,47°C,50%,23,0分钟,50°C,8
759,2014-10-19 17:31:24,关,关,关,47°C,50%,25,0分钟,50°C,8
760,2014-10-19 17:31:28,关,关,关,46°C,50%,20,0分钟,50°C,8
761,2014-10-19 17:31:30,关,关,关,46°C,50%,25,0分钟,50°C,8
762,2014-10-19 17:31:32,关,关,关,46°C,50%,18,0分钟,50°C,8
765,2014-10-19 17:34:36,关,关,关,45°C,50%,8,0分钟,50°C,8
772,2014-10-19 17:46:21,开,开,关,44°C,25%,48,6分钟,50°C,9
773,2014-10-19 17:46:27,开,开,关,44°C,25%,50,6分钟,50°C,9
774,2014-10-19 17:46:29,开,开,关,44°C,25%,51,6分钟,50°C,9
775,2014-10-19 17:46:31,开,开,关,44°C,25%,50,6分钟,50°C,9
776,2014-10-19 17:46:33,开,开,关,44°C,25%,51,6分钟,50°C,9
777,2014-10-19 17:46:37,开,开,关,44°C,25%,50,6分钟,50°C,9
778,2014-10-19 17:46:41,开,开,关,44°C,25%,51,6分钟,50°C,9
779,2014-10-19 17:46:43,开,开,关,44°C,25%,46,6分钟,50°C,9
780,2014-10-19 17:46:45,开,开,关,44°C,25%,50,9分钟,50°C,9
781,2014-10-19 17:46:47,开,开,关,44°C,25%,52,9分钟,50°C,9
782,2014-10-19 17:46:51,开,开,关,43°C,25%,51,9分钟,50°C,9
783,2014-10-19 17:46:59,开,开,关,43°C,25%,52,9分钟,50°C,9
784,2014-10-19 17:47:01,开,开,关,43°C,25%,51,9分钟,50°C,9
785,2014-10-19 17:47:11,开,开,关,43°C,25%,52,9分钟,50°C,9
786,2014-10-19 17:47:13,开,开,关,43°C,25%,51,9分钟,50°C,9
787,2014-10-19 17:47:15,开,开,关,43°C,25%,51,11分钟,50°C,9
788,2014-10-19 17:47:17,开,开,关,43°C,25%,52,11分钟,50°C,9
789,2014-10-19 17:47:19,开,开,关,42°C,25%,50,11分钟,50°C,9
790,2014-10-19 17:47:21,开,开,关,42°C,25%,42,11分钟,50°C,9
791,2014-10-19 17:47:23,开,开,关,42°C,25%,23,11分钟,50°C,9
792,2014-10-19 17:47:26,开,开,关,42°C,25%,17,11分钟,50°C,9
793,2014-10-19 17:47:27,开,开,关,42°C,25%,18,11分钟,50°C,9
794,2014-10-19 17:47:31,开,开,关,42°C,25%,22,11分钟,50°C,9
795,2014-10-19 17:47:33,开,开,关,42°C,25%,21,11分钟,50°C,9
796,2014-10-19 17:47:35,开,开,关,42°C,25%,22,11分钟,50°C,9
797,2014-10-19 17:47:50,开,开,关,42°C,25%,22,10分钟,50°C,9
798,2014-10-19 17:47:52,开,开,关,42°C,25%,23,10分钟,50°C,9
799,2014-10-19 17:47:56,开,开,关,42°C,25%,22,10分钟,50°C,9
800,2014-10-19 17:48:00,开,开,关,42°C,25%,22,12分钟,50°C,9
801,2014-10-19 17:48:02,开,开,关,41°C,25%,22,12分钟,50°C,9
802,2014-10-19 17:48:04,开,开,关,41°C,25%,21,12分钟,50°C,9
803,2014-10-19 17:48:14,开,开,关,41°C,25%,22,12分钟,50°C,9
804,2014-10-19 17:48:18,开,开,关,41°C,25%,23,12分钟,50°C,9
805,2014-10-19 17:48:24,开,开,关,41°C,25%,22,12分钟,50°C,9
806,2014-10-19 17:48:26,开,开,关,41°C,25%,23,12分钟,50°C,9
807,2014-10-19 17:48:35,开,开,关,41°C,25%,22,12分钟,50°C,9
808,2014-10-19 17:48:36,开,开,关,41°C,25%,23,12分钟,50°C,9
809,2014-10-19 17:48:40,开,开,关,41°C,25%,22,12分钟,50°C,9
