,用水事件时长(M),开关机切换次数,总用水量(L),总用水时长（Min）,平均水流量（L/min）
76,0.03333333333333333,0,8,0.03333333333333333,240.0
77,0.03333333333333333,0,8,0.03333333333333333,240.0
78,1.0666666666666667,0,539,0.9333333333333333,577.5
79,6.9,0,1870,6.766666666666667,276.3546798029557
80,3.8666666666666667,0,1495,3.7666666666666666,396.9026548672566
81,8.516666666666667,0,2191,8.366666666666667,261.87250996015933
82,3.3,0,16,0.0,inf
83,0.03333333333333333,0,8,0.03333333333333333,240.0
84,0.03333333333333333,0,8,0.03333333333333333,240.0
85,0.38333333333333336,0,68,0.175,388.5714285714286
86,11.85,0,4313,11.766666666666667,366.5439093484419
87,5.633333333333334,0,3566,5.533333333333333,644.4578313253012
88,0.03333333333333333,0,8,0.03333333333333333,240.0
89,0.03333333333333333,0,10,0.03333333333333333,300.0
90,0.03333333333333333,0,8,0.03333333333333333,240.0
91,5.833333333333333,0,2087,5.625,371.02222222222224
92,3.183333333333333,0,576,3.1,185.80645161290323
93,13.866666666666667,0,4869,13.783333333333333,353.2527206771463
94,0.7,0,100,0.6,166.66666666666669
95,2.783333333333333,0,16,0.0,inf
96,0.03333333333333333,0,23,0.03333333333333333,690.0
97,0.16666666666666666,0,59,0.08333333333333333,708.0
98,0.55,0,110,0.325,338.46153846153845
99,8.3,0,3187,8.166666666666666,390.2448979591837
100,4.9,0,1649,4.783333333333333,344.73867595818814
101,8.95,1,5658,8.816666666666666,641.7391304347826
102,0.03333333333333333,0,8,0.03333333333333333,240.0
103,0.03333333333333333,0,8,0.03333333333333333,240.0
104,0.03333333333333333,0,8,0.03333333333333333,240.0
105,8.35,0,3584,8.283333333333333,432.67605633802816
106,7.3,0,2201,7.191666666666666,306.0486674391657
107,4.883333333333334,0,2200,4.791666666666667,459.1304347826087
108,0.03333333333333333,0,8,0.03333333333333333,240.0
109,14.133333333333333,0,5552,14.066666666666666,394.6919431279621
110,16.85,0,8909,16.783333333333335,530.8242303872889
111,2.0166666666666666,0,78,1.0416666666666667,74.88
112,2.8,0,16,0.0,inf
113,11.55,0,3662,11.483333333333333,318.8969521044993
114,0.8166666666666667,0,86,0.4083333333333333,210.6122448979592
115,0.03333333333333333,0,8,0.03333333333333333,240.0
116,23.866666666666667,0,7719,23.75,325.0105263157895
117,3.6333333333333333,0,1213,3.4166666666666665,355.0243902439025
118,4.5,0,674,4.4,153.18181818181816
119,0.03333333333333333,0,8,0.03333333333333333,240.0
120,1.8833333333333333,1,1082,1.7416666666666667,621.244019138756
121,5.683333333333334,0,2610,5.566666666666666,468.86227544910184
122,15.85,1,5770,15.783333333333333,365.5755015839493
123,0.03333333333333333,0,8,0.03333333333333333,240.0
124,0.21666666666666667,0,119,0.15833333333333333,751.578947368421
125,13.383333333333333,0,5483,13.316666666666666,411.73967459324155
126,10.566666666666666,0,4361,10.483333333333333,415.9936406995231
127,0.03333333333333333,0,8,0.03333333333333333,240.0
128,0.03333333333333333,0,8,0.03333333333333333,240.0
129,0.03333333333333333,0,10,0.03333333333333333,300.0
130,5.966666666666667,0,2745,5.891666666666667,465.9123055162659
131,0.03333333333333333,0,8,0.03333333333333333,240.0
132,9.933333333333334,0,2830,9.833333333333334,287.7966101694915
133,0.03333333333333333,0,8,0.03333333333333333,240.0
134,0.03333333333333333,0,8,0.03333333333333333,240.0
135,0.4,0,426,0.3333333333333333,1278.0
136,0.8833333333333333,0,537,0.8166666666666667,657.5510204081633
137,3.7666666666666666,0,1702,3.683333333333333,462.08144796380094
138,17.233333333333334,0,4262,15.383333333333333,277.0530877573131
139,0.2,0,35,0.08333333333333333,420.0
140,0.2,0,58,0.13333333333333333,435.0
141,0.06666666666666667,0,31,0.0,inf
142,10.533333333333333,0,3055,8.65,353.17919075144505
143,0.4666666666666667,0,283,0.2833333333333333,998.8235294117648
144,10.1,0,1500,9.875,151.8987341772152
145,11.983333333333333,0,3386,11.916666666666666,284.13986013986016
146,1.6166666666666667,0,1191,1.5166666666666666,785.2747252747253
147,0.03333333333333333,0,10,0.03333333333333333,300.0
148,2.933333333333333,0,726,2.8666666666666667,253.25581395348837
149,0.03333333333333333,0,8,0.03333333333333333,240.0
150,0.03333333333333333,0,8,0.03333333333333333,240.0
151,0.03333333333333333,0,10,0.03333333333333333,300.0
152,0.26666666666666666,0,245,0.2,1225.0
153,8.233333333333333,0,3997,8.116666666666667,492.44353182751536
154,13.65,0,2448,12.075,202.73291925465838
155,2.6166666666666667,0,54,1.2916666666666667,41.806451612903224
156,0.03333333333333333,0,8,0.03333333333333333,240.0
157,2.0,0,2024,1.8416666666666666,1099.0045248868778
158,0.03333333333333333,0,8,0.03333333333333333,240.0
159,0.06666666666666667,0,51,0.0,inf
160,0.06666666666666667,0,36,0.0,inf
161,0.26666666666666666,0,60,0.11666666666666667,514.2857142857142
162,0.03333333333333333,0,8,0.03333333333333333,240.0
163,12.05,0,3971,11.983333333333333,331.37691237830325
164,10.766666666666667,0,4058,10.683333333333334,379.8439937597504
165,0.03333333333333333,0,8,0.03333333333333333,240.0
166,10.983333333333333,0,1829,9.216666666666667,198.44484629294755
167,0.3333333333333333,0,273,0.23333333333333334,1170.0
168,12.683333333333334,0,3582,12.466666666666667,287.32620320855614
169,5.316666666666666,0,1878,5.183333333333334,362.3151125401929
170,0.03333333333333333,0,8,0.03333333333333333,240.0
171,0.03333333333333333,0,8,0.03333333333333333,240.0
